#set point, Properties, Tag 
# missing pulse magnet : pulsed septum (22.9988, SP1SI, 124),kick3 (24.3886, BU3SI, 127), kick4 (26.5139, BU4SI, 133), BPM (25.7139, P2SI, 130)
#LTB-MG{Bend:2}I:Sp1-SP, elemHandle=put, elemIndex=52, elemName=B2, devName=B2, elemLength=0.35, elemPosition=8.45413, elemType=BEND, system=LTB, elemField=bl, aphla.sys.LTB 
#LTB-MG{Bend:3}I:Sp1-SP, elemHandle=put, elemIndex=76, elemName=B3, devName=B3, elemLength=0.35, elemPosition=13.6886, elemType=BEND, system=LTB, elemField=bl, aphla.sys.LTB 
#LTB-MG{Bend:4}I:Sp1-SP, elemHandle=put, elemIndex=86, elemName=B4, devName=B4, elemLength=0.35, elemPosition=15.8376, elemType=BEND, system=LTB, elemField=bl, aphla.sys.LTB 

LTB-MG{Quad:7}I:Sp1-SP, elemHandle=put, elemIndex=55, elemName=Q7, devName=Q7, elemLength=0.15, elemPosition=9.4818, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:8}I:Sp1-SP, elemHandle=put, elemIndex=57, elemName=Q8, devName=Q8, elemLength=0.15, elemPosition=10.0358, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:9}I:Sp1-SP, elemHandle=put, elemIndex=61, elemName=Q9, devName=Q9, elemLength=0.15, elemPosition=11.0265, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:10}I:Sp1-SP, elemHandle=put, elemIndex=84, elemName=Q10, devName=Q10, elemLength=0.15, elemPosition=14.6631, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:11}I:Sp1-SP, elemHandle=put, elemIndex=96, elemName=Q11, devName=Q11, elemLength=0.15, elemPosition=16.7483, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:12}I:Sp1-SP, elemHandle=put, elemIndex=98, elemName=Q12, devName=Q12, elemLength=0.15, elemPosition=17.6653, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:13}I:Sp1-SP, elemHandle=put, elemIndex=104, elemName=Q13, devName=Q13, elemLength=0.15, elemPosition=18.5824, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:14}I:Sp1-SP, elemHandle=put, elemIndex=106, elemName=Q14, devName=Q14, elemLength=0.15, elemPosition=19.4994, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 
LTB-MG{Quad:15}I:Sp1-SP, elemHandle=put, elemIndex=114, elemName=Q15, devName=Q15, elemLength=0.15, elemPosition=20.3564, elemType=QUAD, system=LTB, elemField=b1, aphla.sys.LTB 

