Tune: 3.322128e+01 1.625978e+01
Chrom: 2.000000e+00 1.789887e+00 
Alpha_c: 3.627490e-04
 element        s            alphax         alphay         betax          betay            etax          etaxp           etay          etayp           phix           phiy     
       _BEG_   0.000000e+00   2.511018e-15   1.835334e-15   2.047522e+01   3.367063e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
         MA1   0.000000e+00   2.511018e-15   1.835334e-15   2.047522e+01   3.367063e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
   MK4G1C30A   0.000000e+00   2.511018e-15   1.835334e-15   2.047522e+01   3.367063e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
     DH02G1A   4.293790e+00  -2.097066e-01  -1.275233e+00   2.137566e+01   8.842646e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.067112e-01   9.057824e-01 
         DFT   4.315790e+00  -2.107811e-01  -1.281767e+00   2.138491e+01   8.898900e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.077402e-01   9.082625e-01 
   FH2G1C30A   4.315790e+00  -2.107811e-01  -1.281767e+00   2.138491e+01   8.898900e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.077402e-01   9.082625e-01 
         DFT   4.337790e+00  -2.118556e-01  -1.288301e+00   2.139421e+01   8.955441e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.087687e-01   9.107269e-01 
      DH1G1A   4.650000e+00  -2.271038e-01  -1.381026e+00   2.153125e+01   9.788832e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.233159e-01   9.440786e-01 
    GEG1C30A   4.650000e+00  -2.271038e-01  -1.381026e+00   2.153125e+01   9.788832e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.233159e-01   9.440786e-01 
    GSG2C30A   4.650000e+00  -2.271038e-01  -1.381026e+00   2.153125e+01   9.788832e+00   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.233159e-01   9.440786e-01 
   SH1G2C30A   4.850000e+00  -2.368717e-01  -1.440424e+00   2.162405e+01   1.035312e+01   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.325849e-01   9.639467e-01 
     DH1AG2A   4.935000e+00  -2.410230e-01  -1.465669e+00   2.166467e+01   1.060014e+01   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.365121e-01   9.720607e-01 
   PH1G2C30A   4.935000e+00  -2.410230e-01  -1.465669e+00   2.166467e+01   1.060014e+01   -2.417697e-04   5.998687e-18   0.000000e+00   0.000000e+00   2.365121e-01   9.720607e-01 
