#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:2-SR:C30-MG:G1{FXH2:3}Fld:SP,3,V:2-SR,C30,G1,setpoint,FXH2G1C30A,,Horizontal Corrector
V:2-SR:C30-MG:G1{FXH2:3}Fld:I,3,V:2-SR,C30,G1,readback,FXH2G1C30A,,Horizontal Corrector
V:2-SR:C30-MG:G1{FYH2:4}Fld:SP,4,V:2-SR,C30,G1,setpoint,FYH2G1C30A,,Vertical Corrector
V:2-SR:C30-MG:G1{FYH2:4}Fld:I,4,V:2-SR,C30,G1,readback,FYH2G1C30A,,Vertical Corrector
V:2-SR:C30-MG:G2{SH1:9}Fld:SP,9,V:2-SR,C30,G2,setpoint,SH1G2C30A,K,Sextupole
V:2-SR:C30-MG:G2{SH1:9}Fld:I,9,V:2-SR,C30,G2,readback,SH1G2C30A,K,Sextupole
V:2-SR:C30-BI:G2{PH1:11}SA:X,11,V:2-SR,C30,G2,readback,PH1G2C30A,X,Beam Position Monitor
V:2-SR:C30-BI:G2{PH1:11}SA:Y,11,V:2-SR,C30,G2,readback,PH1G2C30A,Y,Beam Position Monitor
V:2-SR:C30-MG:G2{QH1:13}Fld:SP,13,V:2-SR,C30,G2,setpoint,QH1G2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{QH1:13}Fld:I,13,V:2-SR,C30,G2,readback,QH1G2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{SQHH:15}Fld:SP,15,V:2-SR,C30,G2,setpoint,SQHHG2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{SQHH:15}Fld:I,15,V:2-SR,C30,G2,readback,SQHHG2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{CXH1:16}Fld:SP,16,V:2-SR,C30,G2,setpoint,CXH1G2C30A,,Horizontal Corrector
V:2-SR:C30-MG:G2{CXH1:16}Fld:I,16,V:2-SR,C30,G2,readback,CXH1G2C30A,,Horizontal Corrector
V:2-SR:C30-MG:G2{CYH1:17}Fld:SP,17,V:2-SR,C30,G2,setpoint,CYH1G2C30A,,Vertical Corrector
V:2-SR:C30-MG:G2{CYH1:17}Fld:I,17,V:2-SR,C30,G2,readback,CYH1G2C30A,,Vertical Corrector
V:2-SR:C30-MG:G2{SQHH:18}Fld:SP,18,V:2-SR,C30,G2,setpoint,SQHHG2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{SQHH:18}Fld:I,18,V:2-SR,C30,G2,readback,SQHHG2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{QH2:20}Fld:SP,20,V:2-SR,C30,G2,setpoint,QH2G2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{QH2:20}Fld:I,20,V:2-SR,C30,G2,readback,QH2G2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{SH3:22}Fld:SP,22,V:2-SR,C30,G2,setpoint,SH3G2C30A,K,Sextupole
V:2-SR:C30-MG:G2{SH3:22}Fld:I,22,V:2-SR,C30,G2,readback,SH3G2C30A,K,Sextupole
V:2-SR:C30-MG:G2{QH3:24}Fld:SP,24,V:2-SR,C30,G2,setpoint,QH3G2C30A,K,Quadrupole
V:2-SR:C30-MG:G2{QH3:24}Fld:I,24,V:2-SR,C30,G2,readback,QH3G2C30A,K,Quadrupole
V:2-SR:C30-BI:G2{PH2:26}SA:X,26,V:2-SR,C30,G2,readback,PH2G2C30A,X,Beam Position Monitor
V:2-SR:C30-BI:G2{PH2:26}SA:Y,26,V:2-SR,C30,G2,readback,PH2G2C30A,Y,Beam Position Monitor
V:2-SR:C30-MG:G2{SH4:28}Fld:SP,28,V:2-SR,C30,G2,setpoint,SH4G2C30A,K,Sextupole
V:2-SR:C30-MG:G2{SH4:28}Fld:I,28,V:2-SR,C30,G2,readback,SH4G2C30A,K,Sextupole
V:2-SR:C30-MG:G2{CXH2:31}Fld:SP,31,V:2-SR,C30,G2,setpoint,CXH2G2C30A,,Horizontal Corrector
V:2-SR:C30-MG:G2{CXH2:31}Fld:I,31,V:2-SR,C30,G2,readback,CXH2G2C30A,,Horizontal Corrector
V:2-SR:C30-MG:G2{CYH2:32}Fld:SP,32,V:2-SR,C30,G2,setpoint,CYH2G2C30A,,Vertical Corrector
V:2-SR:C30-MG:G2{CYH2:32}Fld:I,32,V:2-SR,C30,G2,readback,CYH2G2C30A,,Vertical Corrector
V:2-SR:C30-MG:G3{B1:37}Fld:SP,37,V:2-SR,C30,G3,setpoint,B1G3C30A,T,Bending
V:2-SR:C30-MG:G3{B1:37}Fld:I,37,V:2-SR,C30,G3,readback,B1G3C30A,T,Bending
V:2-SR:C30-MG:G4{CXM1:42}Fld:SP,42,V:2-SR,C30,G4,setpoint,CXM1G4C30A,,Horizontal Corrector
V:2-SR:C30-MG:G4{CXM1:42}Fld:I,42,V:2-SR,C30,G4,readback,CXM1G4C30A,,Horizontal Corrector
V:2-SR:C30-MG:G4{CYM1:43}Fld:SP,43,V:2-SR,C30,G4,setpoint,CYM1G4C30A,,Vertical Corrector
V:2-SR:C30-MG:G4{CYM1:43}Fld:I,43,V:2-SR,C30,G4,readback,CYM1G4C30A,,Vertical Corrector
V:2-SR:C30-MG:G4{QM1:46}Fld:SP,46,V:2-SR,C30,G4,setpoint,QM1G4C30A,K,Quadrupole
V:2-SR:C30-MG:G4{QM1:46}Fld:I,46,V:2-SR,C30,G4,readback,QM1G4C30A,K,Quadrupole
V:2-SR:C30-MG:G4{SM1:48}Fld:SP,48,V:2-SR,C30,G4,setpoint,SM1G4C30A,K,Sextupole
