#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-BI:SUPER{BPM:4}SA:X,4,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:4}SA:Y,4,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL1:8}Fld:SP,8,V:1-SR,,,setpoint,QL1,K,Quadrupole
V:1-SR-MG:SUPER{QL1:8}Fld:I,8,V:1-SR,,,readback,QL1,K,Quadrupole
V:1-SR-MG:SUPER{S1:10}Fld:SP,10,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:10}Fld:I,10,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:13}Fld:SP,13,V:1-SR,,,setpoint,S1,K,Sextupole
V:1-SR-MG:SUPER{S1:13}Fld:I,13,V:1-SR,,,readback,S1,K,Sextupole
V:1-SR-MG:SUPER{QL2:15}Fld:SP,15,V:1-SR,,,setpoint,QL2,K,Quadrupole
V:1-SR-MG:SUPER{QL2:15}Fld:I,15,V:1-SR,,,readback,QL2,K,Quadrupole
V:1-SR-BI:SUPER{BPM:17}SA:X,17,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:17}SA:Y,17,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QL3:19}Fld:SP,19,V:1-SR,,,setpoint,QL3,K,Quadrupole
V:1-SR-MG:SUPER{QL3:19}Fld:I,19,V:1-SR,,,readback,QL3,K,Quadrupole
V:1-SR-MG:SUPER{S2:21}Fld:SP,21,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:21}Fld:I,21,V:1-SR,,,readback,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:24}Fld:SP,24,V:1-SR,,,setpoint,S2,K,Sextupole
V:1-SR-MG:SUPER{S2:24}Fld:I,24,V:1-SR,,,readback,S2,K,Sextupole
V:1-SR-MG:SUPER{BEND:26}Fld:SP,26,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:26}Fld:I,26,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS4:30}Fld:SP,30,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:30}Fld:I,30,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-BI:SUPER{BPM:32}SA:X,32,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:32}SA:Y,32,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{SD:34}Fld:SP,34,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:34}Fld:I,34,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:37}Fld:SP,37,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:37}Fld:I,37,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{QS5:39}Fld:SP,39,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:39}Fld:I,39,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SF:41}Fld:SP,41,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:41}Fld:I,41,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:44}Fld:SP,44,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:44}Fld:I,44,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-BI:SUPER{BPM:46}SA:X,46,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:46}SA:Y,46,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS5:48}Fld:SP,48,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:48}Fld:I,48,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:50}Fld:SP,50,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:50}Fld:I,50,V:1-SR,,,readback,SD,K,Sextupole
