tune 2.6172709137E+01 1.4280961435E+01
chrom 0.0000000000E+00 0.0000000000E+00
alphac 2.3870971049E-04
energy 3.0000000000E+00
# i      name           s         alphax    betax     nux          etax      etapx     alphay    betay     nuy       etay      etapy     xcod      ycod      dSx       dSy       dipx      dipy      tmatrix
#                      [m]                   [m]                   [m]                            [m]                [m]                 [m]        [m]      [m]       [m]       [rad]     [rad]            
#
   0           begin 0.000000 0.0001050132 9.8791326704 0.0000000000 0.1200759635 0.0001306291 0.0072642341 6.0422780290 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   1 debut           0.000000 0.0001050132 9.8791326704 0.0000000000 0.1200759635 0.0001306291 0.0072642341 6.0422780290 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   2 mchl            0.000000 0.0001050132 9.8791326704 0.0000000000 0.1200759635 0.0001306291 0.0072642341 6.0422780290 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   3 dl1af           5.208000 -0.5267623572 12.6204732785 0.0771805305 0.1207555445 0.0001306291 -0.8542393060 10.4509266205 0.1136707145 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 5.2080000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 5.2080000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   4 bpm             5.208000 -0.5267623572 12.6204732785 0.0771805305 0.1207555445 0.0001306291 -0.8542393060 10.4509266205 0.1136707145 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 5.2080000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 5.2080000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   5 dl1b            6.000000 -0.6068850449 13.5178340038 0.0868316266 0.1208588909 0.0001306291 -0.9852513651 11.9070113602 0.1249737619 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 6.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 6.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   6 mchr            6.000000 -0.6068850449 13.5178340038 0.0868316266 0.1208588909 0.0001306291 -0.9852513651 11.9070113602 0.1249737619 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 6.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 6.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   7 gs              6.000000 -0.6068850449 13.5178340038 0.0868316266 0.1208588909 0.0001306291 -0.9852513651 11.9070113602 0.1249737619 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0000000000 6.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 6.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   8 ql1             6.300000 -5.2377758036 15.2176437843 0.0902110884 0.1265880728 0.0384025901 2.6315397845 11.3974165128 0.1290070560 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.0471263859 6.5874560179 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.9536024764 6.0169603111 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
   9 dl2a            6.655000 -5.9007349598 19.1696658786 0.0935174873 0.1402062203 0.0384025901 2.3848306821 9.6175729407 0.1344016600 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.1595268136 7.6335884515 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8446520177 5.7017864382 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
  10 s1              6.780000 -6.1317240719 20.6729148176 0.0945162914 0.1450002997 0.0383856997 2.2968919495 9.0326778113 0.1365350345 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000E+00 0.0000000000E+00 1.1991044290 8.0019449421 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3166209233 2.9468519255 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8062891802 5.5908097223 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.3069027005 -0.8878137265 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000
