PV,cell,devName,elemField,elemName,elemType,girder,handle,hostName,iocName,length,ordinal,sEnd,symmetry,system
V:1-SR:C30-MG:G2{SH1:7}Fld:SP,C30,,,sh1g2c30a,SEXT,G2,setpoint,,,,7,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-MG:G2{SH1:7}Fld:I,C30,,,sh1g2c30a,SEXT,G2,readback,,,,7,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k2
V:1-SR:C30-BI:G2{BPM:9}SA:X,C30,,,p_bpm_009,BPM,G2,X,,,,9,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-BI:G2{BPM:9}SA:Y,C30,,,p_bpm_009,BPM,G2,Y,,,,9,,,V:1-SR,aphla.sys.V1SR
V:1-SR:C30-MG:G2{QH1:11}Fld:SP,C30,,,qh1g2c30a,QUAD,G2,setpoint,,,,11,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{QH1:11}Fld:I,C30,,,qh1g2c30a,QUAD,G2,readback,,,,11,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{SQHH:13}Fld:SP,C30,,,sqhhg2c30a,QUAD,G2,setpoint,,,,13,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{SQHH:13}Fld:I,C30,,,sqhhg2c30a,QUAD,G2,readback,,,,13,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{CH:14}Fld:SP,C30,,,ch_014,HCOR,G2,setpoint,,,,14,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G2{CH:14}Fld:I,C30,,,ch_014,HCOR,G2,readback,,,,14,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.x
V:1-SR:C30-MG:G2{CV:15}Fld:SP,C30,,,cv_015,VCOR,G2,setpoint,,,,15,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G2{CV:15}Fld:I,C30,,,cv_015,VCOR,G2,readback,,,,15,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.y
V:1-SR:C30-MG:G2{SQHH:16}Fld:SP,C30,,,sqhhg2c30a,QUAD,G2,setpoint,,,,16,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{SQHH:16}Fld:I,C30,,,sqhhg2c30a,QUAD,G2,readback,,,,16,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{QH2:18}Fld:SP,C30,,,qh2g2c30a,QUAD,G2,setpoint,,,,18,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
V:1-SR:C30-MG:G2{QH2:18}Fld:I,C30,,,qh2g2c30a,QUAD,G2,readback,,,,18,,,V:1-SR,aphla.sys.V1SR,aphla.elemfield.k1
