#   read back           ;             Properties          ;              Tag   
LTB:BI{BPM:1}SA:X-I;  HANDLE=readback, ORDINAL= 3    ,  ELEM_NAME=P1   , DEV_NAME=P1   ,LENGTH=0.16 , S_POSITION=0.258044  , ELEM_TYPE=BPMX , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:BI{BPM:1}SA:Y-I;  HANDLE=readback, ORDINAL= 3    ,  ELEM_NAME=P1   , DEV_NAME=P1   ,LENGTH=0.16 , S_POSITION=0.258044  , ELEM_TYPE=BPMY , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{HCor:1}Fld-I;  HANDLE=readback, ORDINAL= 9    ,  ELEM_NAME=C1   , DEV_NAME=C1   ,LENGTH=0.15 , S_POSITION=0.642092  , ELEM_TYPE=HCOR , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:MG{VCor:1}Fld-I;  HANDLE=readback, ORDINAL= 10  ,  ELEM_NAME=C1   , DEV_NAME=C1   ,LENGTH=0.15 , S_POSITION=0.642092  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Quad:1}Fld-I;  HANDLE=readback, ORDINAL= 13  ,  ELEM_NAME=Q1   , DEV_NAME=Q1   ,LENGTH=0.15 , S_POSITION=0.839362  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Quad:2}Fld-I;  HANDLE=readback, ORDINAL= 17  ,  ELEM_NAME=Q2   , DEV_NAME=Q2   ,LENGTH=0.15 , S_POSITION=1.233562  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Quad:3}Fld-I;  HANDLE=readback, ORDINAL= 19  ,  ELEM_NAME=Q3   , DEV_NAME=Q3   ,LENGTH=0.15 , S_POSITION=1.627498  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{HCor:2}Fld-I;  HANDLE=readback, ORDINAL= 22  ,  ELEM_NAME=C2   , DEV_NAME=C2   ,LENGTH=0.15 , S_POSITION=1.8186    , ELEM_TYPE=HCOR , SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:MG{VCor:2}Fld-I;  HANDLE=readback, ORDINAL= 23  ,  ELEM_NAME=C2   , DEV_NAME=C2   ,LENGTH=0.15 , S_POSITION=1.8186    , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Bend:1}Fld-I;  HANDLE=readback, ORDINAL= 27  ,  ELEM_NAME=B1   , DEV_NAME=B1   ,LENGTH=0.35 , S_POSITION=2.454754  , ELEM_TYPE=BEND , SYSTEM=LTB  ; HLA.EGET
LTB:MG{Quad:4}Fld-I;  HANDLE=readback, ORDINAL= 29  ,  ELEM_NAME=Q4   , DEV_NAME=Q4   ,LENGTH=0.15 , S_POSITION=3.364591  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
LTB:MG{HCor:3}Fld-I;  HANDLE=readback, ORDINAL= 32  ,  ELEM_NAME=C3   , DEV_NAME=C3   ,LENGTH=0.2 , S_POSITION=4.861117  , ELEM_TYPE=HCOR,  SYSTEM=LTB  ; HLA.EGET, HLA.X
LTB:MG{VCor:3}Fld-I;  HANDLE=readback, ORDINAL= 33  ,  ELEM_NAME=C3   , DEV_NAME=C3   ,LENGTH=0.2 , S_POSITION=4.861117  , ELEM_TYPE=VCOR , SYSTEM=LTB  ; HLA.EGET, HLA.Y
LTB:MG{Quad:5}Fld-I;  HANDLE=readback, ORDINAL= 36  ,  ELEM_NAME=Q5   , DEV_NAME=Q5   ,LENGTH=0.25 , S_POSITION=5.404298  , ELEM_TYPE=QUAD , SYSTEM=LTB  ; HLA.EGET
