# 2011-04-13T18:38:43
SR:C00-BI:G00{DCCT:00}CUR-RB; HANDLE=READBACK, CELL=C00, DEV_NAME=DCCT, ELEM_NAME=DCCT, ELEM_TYPE=DCCT, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-Glb:G00{ALPHAC:00}RB-I; HANDLE=READBACK, CELL=C00, DEV_NAME=MCF, ELEM_NAME=MCF, ELEM_TYPE=MCF, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-Glb:G00{CHROM:00}RB-X; HANDLE=READBACK, CELL=C00, DEV_NAME=CHROMX, ELEM_NAME=CHROMX, ELEM_TYPE=CHROM, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-Glb:G00{CHROM:00}RB-Y; HANDLE=READBACK, CELL=C00, DEV_NAME=CHROMY, ELEM_NAME=CHROMY, ELEM_TYPE=CHROM, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-Glb:G00{OMEGA:00}RB-I; HANDLE=READBACK, CELL=C00, DEV_NAME=OMEGA, ELEM_NAME=OMEGA, ELEM_TYPE=OMEGA, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-Glb:G00{TUNE:00}RB-X; HANDLE=READBACK, CELL=C00, DEV_NAME=TUNEX, ELEM_NAME=TUNEX, ELEM_TYPE=TUNE, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-Glb:G00{TUNE:00}RB-Y; HANDLE=READBACK, CELL=C00, DEV_NAME=TUNEY, ELEM_NAME=TUNEY, ELEM_TYPE=TUNE, GIRDER=G0, LENGTH=0.0, ORDINAL=0, S_POSITION=0.0, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-RF:G00{RF:00}Freq-RB; HANDLE=READBACK, CELL=C00, DEV_NAME=CAVITY, ELEM_NAME=RFFREQ, ELEM_TYPE=CAVITY, GIRDER=G0, LENGTH=0.0, ORDINAL=3245, S_POSITION=791.958, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-RF:G00{RF:00}Freq-SP; HANDLE=SETPOINT, CELL=C00, DEV_NAME=CAVITY, ELEM_NAME=RFFREQ, ELEM_TYPE=CAVITY, GIRDER=G0, LENGTH=0.0, ORDINAL=3245, S_POSITION=791.958, SYMMETRY=,; ~tags= HLA.EPUT
SR:C00-RF:G00{RF:00}Volt-RB; HANDLE=READBACK, CELL=C00, DEV_NAME=CAVITY, ELEM_NAME=RFVOLT, ELEM_TYPE=CAVITY, GIRDER=G0, LENGTH=0.0, ORDINAL=3245, S_POSITION=791.958, SYMMETRY=,; ~tags= HLA.EGET
SR:C00-RF:G00{RF:00}Volt-SP; HANDLE=SETPOINT, CELL=C00, DEV_NAME=CAVITY, ELEM_NAME=RFVOLT, ELEM_TYPE=CAVITY, GIRDER=G0, LENGTH=0.0, ORDINAL=3245, S_POSITION=791.958, SYMMETRY=,; ~tags= HLA.EPUT
