#index     element name    cell    girder    dX    dY    dS    dRoll   dPitch   dYaw
3    FXH2G1C30A    1    30    4.06e-06    -8.88e-07    0.00e+00    -4.70e-06    0.00e+00    0.00e+00
4    FYH2G1C30A    1    30    5.54e-07    -4.14e-06    0.00e+00    4.53e-06    0.00e+00    0.00e+00
8    SH1G2C30A    2    30    3.74e-06    9.44e-07    0.00e+00    -3.03e-06    0.00e+00    0.00e+00
12    QH1G2C30A    2    30    2.63e-06    -8.57e-07    0.00e+00    2.35e-06    0.00e+00    0.00e+00
14    SQHG2C30A    2    30    3.54e-06    2.78e-06    0.00e+00    4.88e-06    0.00e+00    0.00e+00
15    CXHG2C30A    2    30    -2.58e-06    3.18e-06    0.00e+00    -3.40e-06    0.00e+00    0.00e+00
16    CYHG2C30A    2    30    3.06e-07    2.89e-06    0.00e+00    -1.26e-06    0.00e+00    0.00e+00
18    QH2G2C30A    2    30    -3.87e-06    4.94e-06    0.00e+00    2.43e-06    0.00e+00    0.00e+00
20    SH3G2C30A    2    30    -3.84e-06    2.57e-06    0.00e+00    2.75e-06    0.00e+00    0.00e+00
22    QH3G2C30A    2    30    -4.90e-06    3.80e-06    0.00e+00    -1.41e-06    0.00e+00    0.00e+00
26    SH4G2C30A    2    30    1.95e-06    -2.25e-07    0.00e+00    1.47e-06    0.00e+00    0.00e+00
29    CXH2G2C30A    2    30    3.91e-07    1.78e-06    0.00e+00    2.96e-06    0.00e+00    0.00e+00
30    CYH2G2C30A    2    30    -3.76e-06    1.17e-06    0.00e+00    -7.11e-08    0.00e+00    0.00e+00
34    B1G3C30A    3    30    1.67e-06    1.80e-06    0.00e+00    -4.38e-06    0.00e+00    0.00e+00
39    CXM1G4C30A    4    30    -8.68e-07    1.40e-06    0.00e+00    2.10e-06    0.00e+00    0.00e+00
40    CYM1G4C30A    4    30    4.33e-06    -4.72e-06    0.00e+00    -4.61e-06    0.00e+00    0.00e+00
42    QM1G4C30A    4    30    2.18e-07    3.20e-06    0.00e+00    4.42e-06    0.00e+00    0.00e+00
44    SM1G4C30A    4    30    1.65e-06    5.96e-07    0.00e+00    3.25e-06    0.00e+00    0.00e+00
47    FXM1G4C30A    4    30    2.29e-06    2.90e-06    0.00e+00    -4.61e-06    0.00e+00    0.00e+00
48    FYM1G4C30A    4    30    -3.33e-06    -7.14e-07    0.00e+00    -1.40e-06    0.00e+00    0.00e+00
52    QM2G4C30A    4    30    2.79e-06    3.01e-06    0.00e+00    -1.24e-06    0.00e+00    0.00e+00
54    SM2G4C30B    4    30    5.26e-07    2.65e-06    0.00e+00    1.50e-06    0.00e+00    0.00e+00
56    QM2G4C30B    4    30    1.30e-06    -1.43e-06    0.00e+00    1.63e-06    0.00e+00    0.00e+00
58    SM1G4C30B    4    30    -1.79e-06    4.24e-06    0.00e+00    1.77e-06    0.00e+00    0.00e+00
62    QM1G4C30B    4    30    -6.80e-07    -3.97e-06    0.00e+00    2.34e-06    0.00e+00    0.00e+00
65    CXM1G4C30B    4    30    2.48e-06    4.18e-06    0.00e+00    -1.21e-07    0.00e+00    0.00e+00
66    CYM1G4C30B    4    30    -3.42e-06    3.91e-06    0.00e+00    3.73e-06    0.00e+00    0.00e+00
72    B1G5C30B    5    30    -2.03e-06    -2.62e-06    0.00e+00    -2.20e-06    0.00e+00    0.00e+00
77    QL3G6C30B    6    30    4.28e-06    3.54e-06    0.00e+00    -2.99e-06    0.00e+00    0.00e+00
81    SL3G6C30B    6    30    -2.31e-06    -8.39e-07    0.00e+00    -3.03e-06    0.00e+00    0.00e+00
84    CXL2G6C30B    6    30    -1.65e-06    4.54e-06    0.00e+00    4.35e-06    0.00e+00    0.00e+00
85    CYL2G6C30B    6    30    -1.80e-06    -3.69e-06    0.00e+00    -9.93e-07    0.00e+00    0.00e+00
87    QL2G6C30B    6    30    -2.19e-06    3.19e-06    0.00e+00    -1.10e-06    0.00e+00    0.00e+00
89    SL2G6C30B    6    30    -4.33e-06    -3.94e-06    0.00e+00    -4.59e-07    0.00e+00    0.00e+00
92    CXL1G6C30B    6    30    3.44e-06    -3.89e-06    0.00e+00    4.32e-06    0.00e+00    0.00e+00
93    CYL1G6C30B    6    30    4.87e-06    2.57e-06    0.00e+00    3.62e-06    0.00e+00    0.00e+00
95    QL1G6C30B    6    30    1.35e-06    -4.43e-06    0.00e+00    4.16e-06    0.00e+00    0.00e+00
99    SL1G6C30B    6    30    8.78e-07    4.43e-06    0.00e+00    1.45e-06    0.00e+00    0.00e+00
104    FXL1G1C01A    1    1    -4.70e-06    -2.78e-06    0.00e+00    -4.23e-06    0.00e+00    0.00e+00
105    FYL1G1C01A    1    1    -4.48e-06    3.29e-07    0.00e+00    -3.21e-06    0.00e+00    0.00e+00
113    FXL2G1C01A    1    1    3.32e-06    3.00e-06    0.00e+00    -4.49e-06    0.00e+00    0.00e+00
114    FYL2G1C01A    1    1    -2.76e-06    4.00e-06    0.00e+00    2.58e-06    0.00e+00    0.00e+00
118    SL1G2C01A    2    1    -2.97e-06    3.90e-06    0.00e+00    8.42e-07    0.00e+00    0.00e+00
122    QL1G2C01A    2    1    2.62e-06    2.63e-06    0.00e+00    3.91e-06    0.00e+00    0.00e+00
125    CXL1G2C01A    2    1    1.81e-06    -4.82e-06    0.00e+00    -1.50e-06    0.00e+00    0.00e+00
126    CYL1G2C01A    2    1    1.67e-06    -2.69e-06    0.00e+00    8.39e-07    0.00e+00    0.00e+00
128    SL2G2C01A    2    1    2.05e-06    1.24e-06    0.00e+00    2.80e-06    0.00e+00    0.00e+00
130    QL2G2C01A    2    1    2.96e-06    -4.35e-06    0.00e+00    -4.40e-08    0.00e+00    0.00e+00
133    CXL2G2C01A    2    1    9.35e-07    -1.78e-06    0.00e+00    -6.69e-07    0.00e+00    0.00e+00
134    CYL2G2C01A    2    1    1.62e-06    2.93e-06    0.00e+00    2.01e-06    0.00e+00    0.00e+00
136    SL3G2C01A    2    1    6.33e-07    -1.74e-06    0.00e+00    -3.36e-06    0.00e+00    0.00e+00
140    QL3G2C01A    2    1    -2.83e-06    -2.66e-06    0.00e+00    4.64e-06    0.00e+00    0.00e+00
145    B1G3C01A    3    1    2.71e-06    -1.46e-06    0.00e+00    -3.83e-06    0.00e+00    0.00e+00
149    SQMG4C01A    4    1    -4.64e-06    -1.43e-06    0.00e+00    3.91e-06    0.00e+00    0.00e+00
