#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:3-BSR-MG{BXRCX1SE:3}Fld:SP,3,V:3-BSR,,,setpoint,BXRCX1SE,,Horizontal Corrector
V:3-BSR-MG{BXRCX1SE:3}Fld:I,3,V:3-BSR,,,readback,BXRCX1SE,,Horizontal Corrector
V:3-BSR-MG{BYRCX1SE:4}Fld:SP,4,V:3-BSR,,,setpoint,BYRCX1SE,,Vertical Corrector
V:3-BSR-MG{BYRCX1SE:4}Fld:I,4,V:3-BSR,,,readback,BYRCX1SE,,Vertical Corrector
V:3-BSR-MG{BRBU1SE:7}Fld:SP,7,V:3-BSR,,,setpoint,BRBU1SE,T,Bending
V:3-BSR-MG{BRBU1SE:7}Fld:I,7,V:3-BSR,,,readback,BRBU1SE,T,Bending
V:3-BSR-MG{BRK1SE:9}Fld:SP,9,V:3-BSR,,,setpoint,BRK1SE,T,Bending
V:3-BSR-MG{BRK1SE:9}Fld:I,9,V:3-BSR,,,readback,BRK1SE,T,Bending
V:3-BSR-MG{BRK2SE:11}Fld:SP,11,V:3-BSR,,,setpoint,BRK2SE,T,Bending
V:3-BSR-MG{BRK2SE:11}Fld:I,11,V:3-BSR,,,readback,BRK2SE,T,Bending
V:3-BSR-MG{BRK3SE:13}Fld:SP,13,V:3-BSR,,,setpoint,BRK3SE,T,Bending
V:3-BSR-MG{BRK3SE:13}Fld:I,13,V:3-BSR,,,readback,BRK3SE,T,Bending
V:3-BSR-MG{BRK4SE:15}Fld:SP,15,V:3-BSR,,,setpoint,BRK4SE,T,Bending
V:3-BSR-MG{BRK4SE:15}Fld:I,15,V:3-BSR,,,readback,BRK4SE,T,Bending
V:3-BSR-BI{BRP1SE:17}SA:X,17,V:3-BSR,,,readback,BRP1SE,X,Beam Position Monitor
V:3-BSR-BI{BRP1SE:17}SA:Y,17,V:3-BSR,,,readback,BRP1SE,Y,Beam Position Monitor
V:3-BSR-MG{BRBU2SE:19}Fld:SP,19,V:3-BSR,,,setpoint,BRBU2SE,T,Bending
V:3-BSR-MG{BRBU2SE:19}Fld:I,19,V:3-BSR,,,readback,BRBU2SE,T,Bending
V:3-BSR-MG{BRSP1SE:23}Fld:SP,23,V:3-BSR,,,setpoint,BRSP1SE,T,Bending
V:3-BSR-MG{BRSP1SE:23}Fld:I,23,V:3-BSR,,,readback,BRSP1SE,T,Bending
V:3-BSR-BI{P1:25}SA:X,25,V:3-BSR,,,readback,P1,X,Beam Position Monitor
V:3-BSR-BI{P1:25}SA:Y,25,V:3-BSR,,,readback,P1,Y,Beam Position Monitor
V:3-BSR-MG{SP2:27}Fld:SP,27,V:3-BSR,,,setpoint,SP2,T,Bending
V:3-BSR-MG{SP2:27}Fld:I,27,V:3-BSR,,,readback,SP2,T,Bending
V:3-BSR-MG{CX1:30}Fld:SP,30,V:3-BSR,,,setpoint,CX1,,Horizontal Corrector
V:3-BSR-MG{CX1:30}Fld:I,30,V:3-BSR,,,readback,CX1,,Horizontal Corrector
V:3-BSR-MG{CY1:31}Fld:SP,31,V:3-BSR,,,setpoint,CY1,,Vertical Corrector
V:3-BSR-MG{CY1:31}Fld:I,31,V:3-BSR,,,readback,CY1,,Vertical Corrector
V:3-BSR-MG{Q1:34}Fld:SP,34,V:3-BSR,,,setpoint,Q1,K,Quadrupole
V:3-BSR-MG{Q1:34}Fld:I,34,V:3-BSR,,,readback,Q1,K,Quadrupole
V:3-BSR-MG{Q2:38}Fld:SP,38,V:3-BSR,,,setpoint,Q2,K,Quadrupole
V:3-BSR-MG{Q2:38}Fld:I,38,V:3-BSR,,,readback,Q2,K,Quadrupole
V:3-BSR-MG{B1:40}Fld:SP,40,V:3-BSR,,,setpoint,B1,T,Bending
V:3-BSR-MG{B1:40}Fld:I,40,V:3-BSR,,,readback,B1,T,Bending
V:3-BSR-MG{Q3:42}Fld:SP,42,V:3-BSR,,,setpoint,Q3,K,Quadrupole
V:3-BSR-MG{Q3:42}Fld:I,42,V:3-BSR,,,readback,Q3,K,Quadrupole
V:3-BSR-MG{CX2:45}Fld:SP,45,V:3-BSR,,,setpoint,CX2,,Horizontal Corrector
V:3-BSR-MG{CX2:45}Fld:I,45,V:3-BSR,,,readback,CX2,,Horizontal Corrector
V:3-BSR-MG{CY2:46}Fld:SP,46,V:3-BSR,,,setpoint,CY2,,Vertical Corrector
V:3-BSR-MG{CY2:46}Fld:I,46,V:3-BSR,,,readback,CY2,,Vertical Corrector
V:3-BSR-MG{B2:51}Fld:SP,51,V:3-BSR,,,setpoint,B2,T,Bending
V:3-BSR-MG{B2:51}Fld:I,51,V:3-BSR,,,readback,B2,T,Bending
V:3-BSR-BI{P2:54}SA:X,54,V:3-BSR,,,readback,P2,X,Beam Position Monitor
V:3-BSR-BI{P2:54}SA:Y,54,V:3-BSR,,,readback,P2,Y,Beam Position Monitor
V:3-BSR-MG{Q4:57}Fld:SP,57,V:3-BSR,,,setpoint,Q4,K,Quadrupole
V:3-BSR-MG{Q4:57}Fld:I,57,V:3-BSR,,,readback,Q4,K,Quadrupole
V:3-BSR-MG{CX3:60}Fld:SP,60,V:3-BSR,,,setpoint,CX3,,Horizontal Corrector
V:3-BSR-MG{CX3:60}Fld:I,60,V:3-BSR,,,readback,CX3,,Horizontal Corrector
V:3-BSR-MG{CY3:61}Fld:SP,61,V:3-BSR,,,setpoint,CY3,,Vertical Corrector
V:3-BSR-MG{CY3:61}Fld:I,61,V:3-BSR,,,readback,CY3,,Vertical Corrector
V:3-BSR-BI{P3:65}SA:X,65,V:3-BSR,,,readback,P3,X,Beam Position Monitor
V:3-BSR-BI{P3:65}SA:Y,65,V:3-BSR,,,readback,P3,Y,Beam Position Monitor
V:3-BSR-MG{Q5:70}Fld:SP,70,V:3-BSR,,,setpoint,Q5,K,Quadrupole
V:3-BSR-MG{Q5:70}Fld:I,70,V:3-BSR,,,readback,Q5,K,Quadrupole
V:3-BSR-BI{P4:75}SA:X,75,V:3-BSR,,,readback,P4,X,Beam Position Monitor
V:3-BSR-BI{P4:75}SA:Y,75,V:3-BSR,,,readback,P4,Y,Beam Position Monitor
V:3-BSR-MG{Q6:80}Fld:SP,80,V:3-BSR,,,setpoint,Q6,K,Quadrupole
V:3-BSR-MG{Q6:80}Fld:I,80,V:3-BSR,,,readback,Q6,K,Quadrupole
V:3-BSR-MG{CX4:83}Fld:SP,83,V:3-BSR,,,setpoint,CX4,,Horizontal Corrector
V:3-BSR-MG{CX4:83}Fld:I,83,V:3-BSR,,,readback,CX4,,Horizontal Corrector
V:3-BSR-MG{CY4:84}Fld:SP,84,V:3-BSR,,,setpoint,CY4,,Vertical Corrector
V:3-BSR-MG{CY4:84}Fld:I,84,V:3-BSR,,,readback,CY4,,Vertical Corrector
V:3-BSR-MG{Q7:87}Fld:SP,87,V:3-BSR,,,setpoint,Q7,K,Quadrupole
V:3-BSR-MG{Q7:87}Fld:I,87,V:3-BSR,,,readback,Q7,K,Quadrupole
V:3-BSR-MG{Q8:93}Fld:SP,93,V:3-BSR,,,setpoint,Q8,K,Quadrupole
V:3-BSR-MG{Q8:93}Fld:I,93,V:3-BSR,,,readback,Q8,K,Quadrupole
V:3-BSR-MG{B3:96}Fld:SP,96,V:3-BSR,,,setpoint,B3,T,Bending
V:3-BSR-MG{B3:96}Fld:I,96,V:3-BSR,,,readback,B3,T,Bending
V:3-BSR-MG{Q9:98}Fld:SP,98,V:3-BSR,,,setpoint,Q9,K,Quadrupole
V:3-BSR-MG{Q9:98}Fld:I,98,V:3-BSR,,,readback,Q9,K,Quadrupole
V:3-BSR-MG{CX5:101}Fld:SP,101,V:3-BSR,,,setpoint,CX5,,Horizontal Corrector
V:3-BSR-MG{CX5:101}Fld:I,101,V:3-BSR,,,readback,CX5,,Horizontal Corrector
V:3-BSR-MG{CY5:102}Fld:SP,102,V:3-BSR,,,setpoint,CY5,,Vertical Corrector
V:3-BSR-MG{CY5:102}Fld:I,102,V:3-BSR,,,readback,CY5,,Vertical Corrector
V:3-BSR-BI{P5:106}SA:X,106,V:3-BSR,,,readback,P5,X,Beam Position Monitor
V:3-BSR-BI{P5:106}SA:Y,106,V:3-BSR,,,readback,P5,Y,Beam Position Monitor
V:3-BSR-MG{Q10:109}Fld:SP,109,V:3-BSR,,,setpoint,Q10,K,Quadrupole
V:3-BSR-MG{Q10:109}Fld:I,109,V:3-BSR,,,readback,Q10,K,Quadrupole
V:3-BSR-MG{B4:111}Fld:SP,111,V:3-BSR,,,setpoint,B4,T,Bending
V:3-BSR-MG{B4:111}Fld:I,111,V:3-BSR,,,readback,B4,T,Bending
V:3-BSR-MG{CX6:114}Fld:SP,114,V:3-BSR,,,setpoint,CX6,,Horizontal Corrector
V:3-BSR-MG{CX6:114}Fld:I,114,V:3-BSR,,,readback,CX6,,Horizontal Corrector
V:3-BSR-MG{CY6:115}Fld:SP,115,V:3-BSR,,,setpoint,CY6,,Vertical Corrector
V:3-BSR-MG{CY6:115}Fld:I,115,V:3-BSR,,,readback,CY6,,Vertical Corrector
V:3-BSR-MG{Q11:118}Fld:SP,118,V:3-BSR,,,setpoint,Q11,K,Quadrupole
V:3-BSR-MG{Q11:118}Fld:I,118,V:3-BSR,,,readback,Q11,K,Quadrupole
V:3-BSR-BI{P6:121}SA:X,121,V:3-BSR,,,readback,P6,X,Beam Position Monitor
V:3-BSR-BI{P6:121}SA:Y,121,V:3-BSR,,,readback,P6,Y,Beam Position Monitor
V:3-BSR-MG{Q12:124}Fld:SP,124,V:3-BSR,,,setpoint,Q12,K,Quadrupole
V:3-BSR-MG{Q12:124}Fld:I,124,V:3-BSR,,,readback,Q12,K,Quadrupole
V:3-BSR-MG{CX7:131}Fld:SP,131,V:3-BSR,,,setpoint,CX7,,Horizontal Corrector
V:3-BSR-MG{CX7:131}Fld:I,131,V:3-BSR,,,readback,CX7,,Horizontal Corrector
V:3-BSR-MG{CY7:132}Fld:SP,132,V:3-BSR,,,setpoint,CY7,,Vertical Corrector
V:3-BSR-MG{CY7:132}Fld:I,132,V:3-BSR,,,readback,CY7,,Vertical Corrector
V:3-BSR-BI{P7:140}SA:X,140,V:3-BSR,,,readback,P7,X,Beam Position Monitor
V:3-BSR-BI{P7:140}SA:Y,140,V:3-BSR,,,readback,P7,Y,Beam Position Monitor
V:3-BSR-MG{Q13:145}Fld:SP,145,V:3-BSR,,,setpoint,Q13,K,Quadrupole
