 ElementName  ElementType     s       betax    alphax     betay    alphay      etax      etaxp     yAper     xAper  
                              m         m                   m                   m                    m         m    
--------------------------------------------------------------------------------------------------------------------
 _BEG_        MARK         0.000000   21.175102  -0.000000  3.489676  -0.000000  0.000980   0.000000  0.002671  0.018000 
 MK4G1C30A    MARK         0.000000   21.175102  -0.000000  3.489676  -0.000000  0.000980   0.000000  0.002671  0.018000 
 DH02G1A      DRIF         4.293790   22.045777  -0.202775  8.772869  -1.230427  0.000980   0.000000  0.004235  0.018366 
 DFT          DRIF         4.315790   22.054722  -0.203814  8.827147  -1.236731  0.000980   0.000000  0.004248  0.018370 
 FH2G1C30A    MARK         4.315790   22.054722  -0.203814  8.827147  -1.236731  0.000980   0.000000  0.004248  0.018370 
 DFT          DRIF         4.337790   22.063713  -0.204853  8.881702  -1.243035  0.000980   0.000000  0.004261  0.018374 
 DH1G1A       DRIF         4.650000   22.196231  -0.219598  9.685810  -1.332502  0.000980   0.000000  0.004450  0.018429 
 GEG1C30A     MULT         4.650000   22.196231  -0.219598  9.685810  -1.332502  0.000980   0.000000  0.004450  0.018429 
 GSG2C30A     MULT         4.650000   22.196231  -0.219598  9.685810  -1.332502  0.000980   0.000000  0.004450  0.018429 
 SH1G2C30A    SEXT         4.850000   22.285959  -0.229043  10.230273  -1.389814  0.000980   0.000000  0.004573  0.018466 
 DH1AG2A      DRIF         4.935000   22.325237  -0.233057  10.468612  -1.414171  0.000980   0.000000  0.004626  0.018482 
 PH1G2C30A    MONI         4.935000   22.325237  -0.233057  10.468612  -1.414171  0.000980   0.000000  0.004626  0.018482 
 DBPM01       DRIF         5.012500   22.361645  -0.236717  10.689530  -1.436380  0.000980   0.000000  0.004675  0.018497 
 QH1G2C30A    QUAD         5.287500   23.587325  -4.291199  10.972290  0.424620  0.001004   0.000172  0.004736  0.018998 
 DH2AG2A      DRIF         5.432500   24.849079  -4.410547  10.851412  0.409022  0.001029   0.000172  0.004710  0.019499 
 SQHHG2C30A   QUAD         5.532500   25.739419  -4.492855  10.770683  0.398265  0.001046   0.000172  0.004692  0.019845 
 CH1XG2C30A   HKICK        5.532500   25.739419  -4.492855  10.770683  0.398265  0.001046   0.000172  0.004692  0.019845 
