#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR:C30-MG:G2{SH1:7}Fld:SP,7,V:1-SR,C30,G2,setpoint,SH1G2C30A,K,Sextupole
V:1-SR:C30-MG:G2{SH1:7}Fld:I,7,V:1-SR,C30,G2,readback,SH1G2C30A,K,Sextupole
V:1-SR:C30-BI:G2{BPM:9}SA:X,9,V:1-SR,C30,G2,X,BPM,,Beam Position Monitor
V:1-SR:C30-BI:G2{BPM:9}SA:Y,9,V:1-SR,C30,G2,Y,BPM,,Beam Position Monitor
V:1-SR:C30-MG:G2{QH1:11}Fld:SP,11,V:1-SR,C30,G2,setpoint,QH1G2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{QH1:11}Fld:I,11,V:1-SR,C30,G2,readback,QH1G2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{SQHH:13}Fld:SP,13,V:1-SR,C30,G2,setpoint,SQHHG2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{SQHH:13}Fld:I,13,V:1-SR,C30,G2,readback,SQHHG2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{CH:14}Fld:SP,14,V:1-SR,C30,G2,setpoint,CH,,Horizontal Corrector
V:1-SR:C30-MG:G2{CH:14}Fld:I,14,V:1-SR,C30,G2,readback,CH,,Horizontal Corrector
V:1-SR:C30-MG:G2{CV:15}Fld:SP,15,V:1-SR,C30,G2,setpoint,CV,,Vertical Corrector
V:1-SR:C30-MG:G2{CV:15}Fld:I,15,V:1-SR,C30,G2,readback,CV,,Vertical Corrector
V:1-SR:C30-MG:G2{SQHH:16}Fld:SP,16,V:1-SR,C30,G2,setpoint,SQHHG2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{SQHH:16}Fld:I,16,V:1-SR,C30,G2,readback,SQHHG2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{QH2:18}Fld:SP,18,V:1-SR,C30,G2,setpoint,QH2G2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{QH2:18}Fld:I,18,V:1-SR,C30,G2,readback,QH2G2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{SH3:20}Fld:SP,20,V:1-SR,C30,G2,setpoint,SH3G2C30A,K,Sextupole
V:1-SR:C30-MG:G2{SH3:20}Fld:I,20,V:1-SR,C30,G2,readback,SH3G2C30A,K,Sextupole
V:1-SR:C30-MG:G2{QH3:22}Fld:SP,22,V:1-SR,C30,G2,setpoint,QH3G2C30A,K,Quadrupole
V:1-SR:C30-MG:G2{QH3:22}Fld:I,22,V:1-SR,C30,G2,readback,QH3G2C30A,K,Quadrupole
V:1-SR:C30-BI:G2{BPM:24}SA:X,24,V:1-SR,C30,G2,X,BPM,,Beam Position Monitor
V:1-SR:C30-BI:G2{BPM:24}SA:Y,24,V:1-SR,C30,G2,Y,BPM,,Beam Position Monitor
V:1-SR:C30-MG:G2{SH4:26}Fld:SP,26,V:1-SR,C30,G2,setpoint,SH4G2C30A,K,Sextupole
V:1-SR:C30-MG:G2{SH4:26}Fld:I,26,V:1-SR,C30,G2,readback,SH4G2C30A,K,Sextupole
V:1-SR:C30-MG:G2{CH:29}Fld:SP,29,V:1-SR,C30,G2,setpoint,CH,,Horizontal Corrector
V:1-SR:C30-MG:G2{CH:29}Fld:I,29,V:1-SR,C30,G2,readback,CH,,Horizontal Corrector
V:1-SR:C30-MG:G2{CV:30}Fld:SP,30,V:1-SR,C30,G2,setpoint,CV,,Vertical Corrector
